Sample,SampleID,Breed,Diet
TC_11E,11E,TX,C
TF_13B,13B,TX,F
F1C_19A,19A,F1,C
FF_21J,21J,FS,F
TF_22A,22A,TX,F
FF_23C,23C,FS,F
F1F_24A,24A,F1,F
TC_26B,26B,TX,C
TC_27A,27A,TX,C
F1C_29A,29A,F1,C
F1F_31A,31A,F1,F
F1F_33A,33A,F1,F
FF_35C,35C,FS,F
TF_379,379,TX,F
F1C_37C5,37,F1,C
F1C_37C6,37,F1,C
F1C_37C7,37,F1,C
FF_39A,39A,FS,F
FF_39E,39E,FS,F
FF_39J,39J,FS,F
TC_3B,3B,TX,C
FC_41B,41B,FS,C
F1C_4208,4208,F1,C
FC_42B,42B,FS,C
TF_43A,43A,TX,F
TC_44A,44A,TX,C
F1F_4563,4563,F1,F
F1F_4590,4590,F1,F
FC_45A,45A,FS,C
FC_46F,46F,FS,C
TF_4H,4H,TX,F
TF_4P,4P,TX,F
FF_5B,5B,FS,F
TF_787,787,TX,F
F1F_7G,7G,F1,F
F1F_7M,7M,F1,F
FF_801,801,FS,F
FC_974,974,FS,C
TF_9K,9K,TX,F
