Sample	Breed	Diet
TC_3B	TX	C
TF_4H	TX	F
TF_4P	TX	F
FF_5B	FS	F
F1F_7G	F1	F
F1F_7M	F1	F
TF_9K	TX	F
TC_11E	TX	C
TF_13B	TX	F
F1C_19A	F1	C
FF_21J	FS	F
TF_22A	TX	F
FF_23C	FS	F
F1F_24A	F1	F
TC_26B	TX	C
TC_27A	TX	C
F1C_29A	F1	C
F1F_31A	F1	F
F1F_33A	F1	F
FF_35C	FS	F
F1C_37	F1	C
FF_39A	FS	F
FF_39E	FS	F
FF_39J	FS	F
FC_42B	FS	C
TF_43A	TX	F
TC_44A	TX	C
FC_45A	FS	C
FC_46F	FS	C
TF_379	TX	F
FC_41B	FS	C
TF_787	TX	F
FF_801	FS	F
FC_974	FS	C
F1C_4208	F1	C
F1F_4563	F1	F
F1F_4590	F1	F
