sample,breed,diet,GADPH,SLCO2A1,GJA5,GPSM3,CYP26B1,ABLIM3,BMX,CNTN4,FBLN2
41B,FIN,CON,18.285,25.857,26.71999931,25.221,24.358,29.852,30.993,34.73600006,37.901
42B,FIN,CON,18.072,21.967,23.45100021,24.815,25.559,25.036,27.423,33.52899933,34.4129982
45A,FIN,CON,19.864,21.481,23.5359993,27.419,27.591,24.57,29.147,28.73800087,34.6590004
46F,FIN,CON,17.701,22.555,22.98600006,26.516,27.853,26.977,29.465,36.56100082,33.86700058
974,FIN,CON,18.119,22.288,22.45299911,24.392,27.068,25.037,28.468,30.6779995,34.94599915
19A,FXT,CON,17.483,22.537,22.44400024,25.319,27.862,25.052,31.865,32.7820015,32.69599915
29A,FXT,CON,18.467,22.607,23.0890007,25.36,24.984,24.895,28.921,32.26900101,35.93399811
37C5,FXT,CON,17.561,28.737,27.024,27.385,28.274,29.952,34.505,36.262,36.88800049
37C6,FXT,CON,17.392,23.915,27.78499985,28.407,27.895,27.1,31.518,31.0890007,38.5
37C7,FXT,CON,17.335,23.681,24.06299973,27.114,30.55,25.828,28.614,32.58800125,37.49000168
4208,FXT,CON,15.34,25.504,28.334,29.526,29.57,30.392,36.229,34.469,NA
11E,TEX,CON,19.054,20.724,25.028,24.726,26.011,25.169,27.437,31.06299973,36.4109993
26B,TEX,CON,19.399,22.521,24.62800026,27.811,26.945,30.12,29.696,32.82099915,34.16500092
27A,TEX,CON,18.167,25.91,31.3409996,28.334,31.254,34.354,37.913,38.86,NA
3B,TEX,CON,16.629,23.589,26.56800079,27.646,27.147,26.22,30.796,29.89500046,39.38399887
44A,TEX,CON,17.882,23.046,26.78700066,27.374,27.556,26.264,30.675,30.08499908,38.13100052
21J,FIN,FLU,19.061,22.897,25.77700043,29.48,26.526,26.291,30.594,29.38599968,36.365
23C,FIN,FLU,18.381,22.218,24.8560009,27.525,27.362,25.546,30.957,28.27199936,35.86899948
35C,FIN,FLU,17.856,22.173,24.33200073,26.791,26.63,24.946,30.015,28.23999977,36.13800049
39A,FIN,FLU,16.252,22.246,24.69599915,26.689,26.589,25.274,31.442,28.59900093,38.06999969
39E,FIN,FLU,16.218,20.975,22.31800079,23.571,22.142,24.015,28.497,32.02,36.35100174
39J,FIN,FLU,16.386,24.078,27.50300026,29.277,28.418,27.866,33.105,36.274,37.67100143
5B,FIN,FLU,18.18,20.681,23.33099937,25.847,25.293,23.707,27.725,29.20899963,34.94900131
801,FIN,FLU,19.409,23.926,24.90200043,27.361,26.711,26.764,30.534,32.61800003,39.63600159
24A,FXT,FLU,17.662,18.658,22.63800049,21.171,22.442,23.38,35.258,31.5529995,34.57500076
31A,FXT,FLU,18.516,22.536,22.43499947,26.219,26.623,24.337,26.61,33.65299988,34.67100143
33A,FXT,FLU,16.536,22.521,24.35000038,25.982,26.375,26.366,31.845,30.73699951,36.47200012
4563,FXT,FLU,18.074,23.508,24.40999985,25.978,29.655,25.885,29.942,32.07,38.14
4590,FXT,FLU,19.344,23.842,27.5189991,32.76,29.196,29.063,34.177,37.758,38.55400085
7G,FXT,FLU,18.079,19.186,23.43499947,24.907,25.231,24.419,29.943,30.75099945,35.22700119
7M,FXT,FLU,18.045,22.331,22.51600075,25.792,25.688,24.932,27.406,31.87199974,34.63499832
13B,TEX,FLU,18.024,22.157,22.3409996,24.804,24.607,24.364,29.057,32.27999878,34.48899841
22A,TEX,FLU,17.501,25.274,24.54000092,27.099,26.269,26.456,31.069,37.03699875,36.13600159
379,TEX,FLU,18.768,22.964,22.69199944,24.927,25.481,24.465,30.786,32.06700134,33.62799835
43A,TEX,FLU,16.977,22.399,24.48900032,26.029,26.84,26.481,32.717,32.06299973,36.90499878
4H,TEX,FLU,18.086,22.76,25.95700073,26.212,26.907,26.735,30.946,32.69400024,37.4070015
4P,TEX,FLU,18.254,23.925,24.55400085,25.98,28.712,26.145,28.361,29.76300049,36.645
787,TEX,FLU,18.336,22.634,23.18400002,27.456,27.636,25.865,31.273,33.27700043,33.91799927
9K,TEX,FLU,19.029,23.029,23.96999931,26.822,28.318,27.024,29.41,34.99100113,32.82600021
